Brand,Restaurant ID,Site,RWT Adjustment,Order Inaccuracy Adjustment,Opening Hours Adjustment,JBP Discount,Headline Commission,Total Commission Change,New Commission
Sessions Market,636798,Backstreet Bowls @ Deep Blue Norwich,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,636798,Backstreet Bowls @ Deep Blue Norwich,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,636801,Backstreet Bowls @ Deep Blue Oxted,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,598057,Backstreet Bowls @ Deep Blue Sunninghill,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,673880,Backstreet Bowls @ Feasters - Leicester,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,650795,Backstreet Bowls @ Floatin Buka,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,30.00%,3.30%,26.70%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,27.04%,3.30%,23.74%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,32.59%,3.30%,29.29%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,31.59%,3.30%,28.29%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,25.86%,3.30%,22.56%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,28.78%,3.30%,25.48%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,25.62%,3.30%,22.32%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,26.40%,3.30%,23.10%
Sessions Market,629250,Backstreet Bowls @ Foodrules,-0.2,-1.4,-1.2,-0.5,27.82%,3.30%,24.52%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,28.78%,2.70%,26.08%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,25.62%,2.70%,22.92%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,26.40%,2.70%,23.70%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,32.59%,2.70%,29.89%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,27.04%,2.70%,24.34%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,27.82%,2.70%,25.12%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,31.59%,2.70%,28.89%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,30.00%,2.70%,27.30%
Sessions Market,631360,Backstreet Bowls @ Indian Mirchi - Northampton,-0.6,-1.6,0,-0.5,25.86%,2.70%,23.16%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,26.40%,-1.10%,27.50%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,25.86%,-1.10%,26.96%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,25.62%,-1.10%,26.72%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,27.04%,-1.10%,28.14%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,27.82%,-1.10%,28.92%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,30.00%,-1.10%,31.10%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,32.59%,-1.10%,33.69%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,31.59%,-1.10%,32.69%
Sessions Market,661181,Backstreet Bowls @ Jazzy's Munch Box,0,1.6,0,-0.5,28.78%,-1.10%,29.88%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,26.40%,-1.10%,27.50%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,28.78%,-1.10%,29.88%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,27.04%,-1.10%,28.14%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,25.86%,-1.10%,26.96%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,25.62%,-1.10%,26.72%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,31.59%,-1.10%,32.69%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,27.82%,-1.10%,28.92%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,32.59%,-1.10%,33.69%
Sessions Market,668758,Backstreet Bowls @ Kebab King,0.8,1.6,-0.8,-0.5,30.00%,-1.10%,31.10%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,603327,Backstreet Bowls @ Kitchen 1968,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,636823,Backstreet Bowls @ La Terraza Tapas Bar & Restaurant,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,31.59%,1.70%,29.89%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,32.59%,1.70%,30.89%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,640655,Backstreet Bowls @ Mumbai Bytes,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
